time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-14 00:00:00+00:00,13,6,2,2
2026-02-15 00:00:00+00:00,10,6,1,1
2026-02-16 00:00:00+00:00,19,8,12,3
2026-02-17 00:00:00+00:00,6,3,1,1
2026-02-18 00:00:00+00:00,14,7,0,0
2026-02-19 00:00:00+00:00,6,3,0,0
2026-02-20 00:00:00+00:00,12,5,0,0
2026-02-21 00:00:00+00:00,20,9,0,0
2026-02-22 00:00:00+00:00,14,7,0,0
2026-02-23 00:00:00+00:00,11,4,0,0
2026-02-24 00:00:00+00:00,7,3,1,1
2026-02-25 00:00:00+00:00,15,5,6,3
2026-02-26 00:00:00+00:00,9,5,0,0
2026-02-27 00:00:00+00:00,19,8,0,0
